Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Mag X,Mag Y,Mag Z,Pitch,Roll,Yaw
0.005707,-0.002053,-0.995362,-0.001420,-0.002253,0.000874,0.045411,0.301616,0.291772,0.003037,0.009990,-1.416248
0.005813,-0.001990,-0.994374,-0.004198,-0.000990,-0.001976,0.045572,0.301864,0.292650,0.002981,0.009947,-1.416258
0.005346,-0.002146,-0.994644,0.000408,0.004738,-0.001935,0.045620,0.302334,0.293033,0.003000,0.009989,-1.416269
0.006152,-0.002056,-0.996136,-0.001644,0.002502,0.001908,0.045392,0.301611,0.292032,0.002958,0.010001,-1.416247
0.006313,-0.001496,-0.995841,-0.000433,-0.001906,-0.002047,0.045149,0.301591,0.292070,0.002970,0.009966,-1.416267
0.005693,-0.000884,-0.995331,-0.000988,0.003695,0.001341,0.045512,0.301906,0.293061,0.002947,0.009987,-1.416228
0.006434,-0.003272,-0.995958,0.000307,0.001383,-0.004061,0.045357,0.301823,0.293388,0.002947,0.009986,-1.416260
0.006423,-0.003815,-0.995831,0.000610,0.000742,-0.001035,0.045207,0.301871,0.293130,0.002957,0.009985,-1.416269
0.006053,-0.003760,-0.996405,0.003339,-0.000114,0.001713,0.045710,0.301972,0.293625,0.003011,0.009959,-1.416230
0.005542,-0.002668,-0.996048,0.003699,0.004087,0.003376,0.045532,0.301741,0.293820,0.003038,0.010018,-1.416185
0.005565,-0.001876,-0.995058,-0.000680,0.001639,-0.003368,0.045295,0.301620,0.292357,0.003034,0.010002,-1.416247
0.006069,-0.002793,-0.995744,0.003750,0.002579,-0.000778,0.045520,0.301869,0.292186,0.003064,0.010003,-1.416237
0.006366,-0.003341,-0.995417,0.004390,-0.000722,0.001020,0.045672,0.302079,0.292027,0.003097,0.010007,-1.416204
0.006193,-0.002171,-0.994894,-0.002796,-0.005200,0.002342,0.045318,0.301883,0.291688,0.003043,0.009915,-1.416181
0.006145,-0.001615,-0.995854,-0.000684,-0.000426,0.000400,0.044923,0.301860,0.291672,0.003057,0.009931,-1.416198
0.006317,-0.002597,-0.995578,-0.000154,0.005227,0.002061,0.045624,0.301546,0.292684,0.003063,0.009965,-1.416157
